,ingredient,category,description,rating,rating_num
38,adipic acid/neopentyl glycol/trimellitic anhydride copolymer,texture enhancer,A synthetic polymer.,Good,3.0
39,advanced glycation endproduct (age),miscellaneous,"Advanced glycation endproducts, also known as AGEs, are caused by the body's major fuel source, namely glucose.",Poor,-1.0
40,aerocarpus santalinus,"plant extracts, fragrance: synthetic and fragrant plant extracts",,Poor,-1.0
41,aesculus hippocastanum,"skin-soothing, plant extracts",,Good,3.0
42,agar,"antioxidants, plant extracts, emollients, texture enhancer",,Good,3.0
43,agastache mexicana (hyssop) flower/leaf/stem extract,"antioxidants, plant extracts",Agastache mexicana (also known as hyssop) is a flowering shrub native to North America that’s an edible plant with an anise-like flavor and aroma.,Good,3.0
44,age,miscellaneous,,Poor,-1.0
45,agrimonia eupatoria leaf extract,"antioxidants, plant extracts",Research shows this plant extract has antioxidant properties....,Average,1.0
46,aha,exfoliant,"AHA, also known as alpha hydroxy acid, exfoliates skin and improves signs of aging, dry skin and an uneven skin tone.",Best,5.0
47,ahnfeltia concinna extract,"antioxidants, texture enhancer, plant extracts, emollients",,Good,3.0
48,ahnfeltia extract,"antioxidants, emollients, texture enhancer, plant extracts",,Good,3.0
49,ahnfeltiopsis concinna extract,"emollients, antioxidants, plant extracts, texture enhancer",Ahnfeltiopsis concinna extract is a type of red algae with calming and hydrating properties for skin.,Good,3.0
50,alanine,antioxidants,,Good,3.0
51,alaria esculenta,"antioxidants, emollients, plant extracts, texture enhancer",,Good,3.0
52,albumin,texture enhancer,"Found in egg white, and can leave a film over skin. It can constrict skin temporarily, which can...",Poor,-1.0
53,alcloxa,uncategorized,"More technically known as aluminum chlorhydroxy allantoinate, alcloxa has constricting properties...",Poor,-1.0
54,alcohol,"emollients, cleansing agents",A group of organic compounds with a vast range of forms and uses in cosmetics...,Average,1.0
55,aleurites moluccana seed oil,"plant extracts, antioxidants",,Best,5.0
56,alfalfa extract,"antioxidants, plant extracts",Can be an antioxidant in skincare products…,Best,5.0
57,algae,"antioxidants, emollients, texture enhancer, plant extracts","Algae are very simple, chlorophyll-containing organisms in a family that includes more than 20,000...",Best,5.0
58,algae extract,"antioxidants, emollients, texture enhancer, plant extracts",,Best,5.0
59,algin,"antioxidants, texture enhancer, emollients, plant extracts",Brown algae.,Good,3.0
60,aliphatic hydrocarbon,uncategorized,Hydrocarbon contained in natural gas and mineral oils. It is a synthetic fluid with varying...,Good,3.0
61,alkaline,uncategorized,Anything with a pH higher than 7 is alkaline; a pH below 7 is acidic. Water has a pH of 7; skin has...,Poor,-1.0
62,alkyloamides,texture enhancer,"Identified on skin-care product labels as DEA, triethanolamine (TEA), and monoethanolamine (MEA),...",Average,1.0
63,allantoin,skin-soothing,By-product of uric acid extracted from urea and considered an effective skin-soothing and skin-conditioning agent.,Best,5.0
64,allyl methacrylates crosspolymer,texture enhancer,"A synthetic, non-aqueous polymer whose chief function is film-forming agent.",Good,3.0
65,almond/borage/linseed/olive acids glycerides,"antioxidants, skin-replenishing, hydration","A mixture of the fatty acid and triglyceride components of several non-fragrant plant oils, including almond, borage, linseed, and olive.",Best,5.0
66,almond oil,"emollients, skin-replenishing",Non-volatile oil extracted from the seeds of almonds and used as an emollient.,Best,5.0
67,aloe barbadensis,"skin-soothing, plant extracts",,Good,3.0
68,aloe barbadensis leaf juice extract,"skin-soothing, plant extracts",,Good,3.0
69,aloe barbadensis leaf juice powder,plant extracts,This form of aloe is the powder form of the aloe barbadensis leaf plant...,Good,3.0
70,aloe extract,"skin-soothing, plant extracts",,Good,3.0
71,aloe juice,"skin-soothing, plant extracts",,Good,3.0
72,aloe vera,"skin-soothing, plant extracts",There is no real evidence that aloe vera (Aloe barbadenis) helps the skin in any significant way....,Good,3.0
73,alpha bisabolol,"skin-soothing, plant extracts",,Best,5.0
74,alpha glucan oligosaccharide,emollients,Emollient used in cosmetics that also has water-binding properties.,Best,5.0
75,alpha hydroxy acid,exfoliant,,Best,5.0
76,isomethyl ionone,fragrance: synthetic and fragrant plant extracts,Alpha isomethyl ionone is a fragrance ingredient that must be listed on products that contain it due to its risk of causing a sensitized reaction.,Poor,-1.0
77,alpha lipoic acid,antioxidants,"Alpha lipoic acid is an enzyme that, when applied topically on skin, appears to be a very good antioxidant, and is believed to have numerous soothing effects.",Best,5.0
78,alpha-tocopherol,"antioxidants, vitamins",,Best,5.0
79,alteromonas ferment extract,plant extracts,Alteromonas is found in deep areas of seawater.,Good,3.0
80,althaea rosea,"skin-soothing, texture enhancer, plant extracts",,Good,3.0
81,althea officinalis,"skin-soothing, plant extracts",Latin name for the marshmallow plant.,Best,5.0
82,alumina,"texture enhancer, scrub agents, absorbent","Aluminum oxide, which is used as an abrasive, a thickening agent, and an absorbent in cosmetics.",Good,3.0
83,aluminum,uncategorized,"Aluminum is the most common element on Earth. It's also a common source of confusion in terms of its presence in cosmetics, specifically whether that presence poses a health risk.",Good,3.0
84,aluminum hydroxide,"texture enhancer, absorbent",A synthetic ingredient that functions as an opacifying agent. Secondary uses...,Good,3.0
85,aluminum magnesium silicate,absorbent,Salt that has absorbent properties.,Good,3.0
86,aluminum powder,coloring agents/pigments,Metallic element used as a coloring agent. It is composed of finely ground particles of aluminum....,Good,3.0
87,aluminum silicate,"absorbent, scrub agents",Salt that has absorbent and abrasive properties.,Good,3.0
88,aluminum starch octenylsuccinate,"texture enhancer, absorbent","Powdery thickening agent, absorbent, and anticaking agent used in cosmetics.",Good,3.0
89,aluminum stearate,texture enhancer,The aluminum salt of stearic acid that functions as a thickening agent and helps stabilize products.,Good,3.0
90,aluminum sulfate,"absorbent, antioxidants",It can sensitizing to skin.,Poor,-1.0
91,amino acids,"antioxidants, skin-replenishing",Fundamental constituents of all proteins found in the body.,Best,5.0
92,aminobutyric acid,skin-soothing,Amino acid that has water-binding properties and may provide soothing benefits for skin. It...,Average,1.0
93,aminomethyl propanediol,uncategorized,Used to adjust pH in cosmetics.,Good,3.0
94,aminomethyl propanol,"uncategorized, miscellaneous",Aminomethyl propanol is a synthetic ingredient used in cosmetics as a pH adjuster.,Good,3.0
95,ammonium acryloyldimethyltaurate/vp copolymer,texture enhancer,A synthetic polymer and film-forming agent that also serves to thicken cosmetic formulas...,Good,3.0
96,ammonium chloride,absorbent,Alkaline salt used as a pH balancer in skincare products; it is not used in concentrations that...,Poor,-1.0
97,ammonium glycolate,exfoliant,Synthetic form of glycolic acid used as a pH adjuster and exfoliant. It is sometimes paired with...,Best,5.0
98,ammonium hydroxide,uncategorized,"Clear, colorless liquid used in cosmetics to adjust a product's pH level. Ammonium hydroxide is...",Average,1.0
99,ammonium laureth sulfate,cleansing agents,Can be derived from coconut; used primarily as a detergent cleansing agent and is considered gentle...,Good,3.0
100,ammonium lauryl sulfate,cleansing agents,Can be derived from coconut; used primarily as a detergent cleansing agent and is considered gentle...,Good,3.0
101,amodimethicone,"silicones, emollients, texture enhancer",,Good,3.0
102,amygdalic acid,"exfoliant, antioxidants",,Good,3.0
103,amyl cinnamate,fragrance: synthetic and fragrant plant extracts,Fragrant component.,Poor,-1.0
104,amyl salicylate,fragrance: synthetic and fragrant plant extracts,Fragrant component.,Poor,-1.0
105,amyris oil,"plant extracts, fragrance: synthetic and fragrant plant extracts",Fragrant oil. It has no other known benefit for skin.,Poor,-1.0
106,anacyclus pyrethrum,plant extracts,,Poor,-1.0
107,anacystis nidulans extract,"antioxidants, plant extracts, texture enhancer, emollients",,Good,3.0
108,ananas sativus fruit extract,"plant extracts, exfoliant",,Good,3.0
109,anastatica hierochuntica extract,"antioxidants, plant extracts","Anastatica hierochuntica extract, also known as Rose of Jericho, has research showing it is a potent antioxidant and soothing ingredient.",Best,5.0
110,andiroba oil,"skin-soothing, plant extracts",Extracted from the Brazilian mahogany tree; it has soothing properties (Source:...,Good,3.0
111,anethum graveolens,"plant extracts, fragrance: synthetic and fragrant plant extracts",,Average,1.0
112,angelica archangelica root oil,"antioxidants, plant extracts, fragrance: synthetic and fragrant plant extracts",Volatile oil obtained from the angelica plant. The oil contains chemical constituents that can be...,Poor,-1.0
113,angelica polymorpha sinensis root extract,"antioxidants, plant extracts",,Poor,-1.0
114,anhydroxylitol,hydration,"A natural, plant-derived ingredient that acts as a humectant to help skin absorb and retain moisture.",Good,3.0
115,anisaldehyde,fragrance: synthetic and fragrant plant extracts,Synthetic fragrance used in cosmetics.,Poor,-1.0
116,anise,"antioxidants, fragrance: synthetic and fragrant plant extracts","Also known as aniseed, it can have antioxidant properties...",Poor,-1.0
117,annato extract,plant extracts,"Natural plant colorant derived from the flesh surrounding the seed of Bixa orellana, a shrub native...",Good,3.0
118,anthemis nobilis flower extract,"skin-soothing, antioxidants",,Best,5.0
119,anthocyanin,"antioxidants, plant extracts","Group of naturally occurring substances found in plants that give fruits, vegetables, and plants...",Best,5.0
120,antioxidant,antioxidants,General term for a large group of natural and synthetic ingredients that work to reduce...,Best,5.0
121,apple fruit extract,"antioxidants, plant extracts","General name for various types of apples, all of which have potent antioxidant ability that, at least in theory, can benefit skin when applied topically.",Best,5.0
122,apricot kernel,scrub agents,"Often used as an abrasive agent in so-called ""natural"" scrubs. Apricot kernals have irregular and...",Average,1.0
123,apricot kernel oil,"plant extracts, emollients","Emollient plant oil pressed from the seeds of apricots, and similar to other nonfragrant plant oils.",Best,5.0
124,arachidic acid,"texture enhancer, emollients",Derived from peanut oil and used as an emollient and thickening agent in cosmetics.,Good,3.0
125,arachidyl alcohol,"texture enhancer, emollients",Waxy substance used as a thickening agent and emollient in cosmetics.,Good,3.0
126,arachidyl glucoside,cleansing agents,"A mild surfactant (cleansing) and emulsifying agent, made from...",Good,3.0
127,arachidyl propionate,"texture enhancer, emollients",Waxy substance used as a thickening agent and emollient in cosmetics.,Good,3.0
128,arachis hypogaea extract,"skin-soothing, emollients, plant extracts",Extract of the plant commonly known as the peanut. It can have emollient and skin soothing...,Best,5.0
129,arbutin,plant extracts,"Isolated from the leaves of the bearberry shrub, cranberry, blueberry, some...",Best,5.0
130,arctium lappa,"skin-soothing, plant extracts, antioxidants",,Best,5.0
131,arctium majus,"plant extracts, antioxidants, skin-soothing",,Best,5.0
132,arctostaphylos uva ursi leaf,"antioxidants, plant extracts",,Best,5.0
133,argania spinosa,"antioxidants, plant extracts",,Best,5.0
134,argania spinosa kernel oil,"emollients, antioxidants, plant extracts",Argania spinosa kernel oil is the latin name for the oil expressed from the kernels of the argan tree.,Best,5.0
135,argan oil,"antioxidants, emollients, plant extracts",Non-fragrant plant oil expressed from the kernels of argan trees. Argan oil contains several beneficial lipids and fatty acids for skin...,Best,5.0
136,arginine,antioxidants,Amino acid that has antioxidant properties and can be helpful for soothing skin (Sources: Journal...,Good,3.0
137,argireline,skin-restoring,,Good,3.0
138,aristotelia chilensis (maqui),"antioxidants, plant extracts","Maqui, also known as Chilean wineberry, is a richly-colored berry that contains a potent type of antioxidant anthocyanidin known as delphinidins.",Best,5.0
139,arnica extract,plant extracts,Extract from the plant Arnica montana. There is research showing that when arnica is taken orally...,Poor,-1.0
140,aroma/flavor,fragrance: synthetic and fragrant plant extracts,"Seeing ""aroma/flavor"" on an ingredient list can be either good or bad. For example, if the aroma or flavor comes from mint....",Average,1.0
141,arrowroot,texture enhancer,Thickening agent; it has no known benefit for skin.,Average,1.0
142,artemia extract,"antioxidants, plant extracts, emollients, texture enhancer",,Good,3.0
143,artemisia absinthium extract,plant extracts,,Average,1.0
144,artemisia vulgaris,plant extracts,,Average,1.0
145,ascophyllum nodosum,"antioxidants, emollients, plant extracts, texture enhancer",Species of seaweed.,Good,3.0
146,ascorbic acid,"antioxidants, vitamins",Form of vitamin C that has antioxidant properties (Sources: Advances in Experimental Medicine and...,Best,5.0
147,ascorbyl glucosamine,"antioxidants, vitamins",Form of vitamin C that has little research showing it has the antioxidant or brightening...,Best,5.0
148,ascorbyl glucoside,"antioxidants, vitamins",Ascorbyl glucoside is a stable form of vitamin C combined with glucose.When properly formulated and absorbed into...,Best,5.0
149,ascorbyl methylsilanol pectinate,"antioxidants, texture enhancer, vitamins",Form of vitamin C that is considered stable and that functions as an antioxidant and thickening...,Best,5.0
150,ascorbyl palmitate,"antioxidants, vitamins",Stable and nonacidic form of vitamin C that is effective as an antioxidant (Source: Biochemical and...,Best,5.0
151,asparagine,antioxidants,,Good,3.0
152,asparagopsis armata extract,"antioxidants, emollients, plant extracts, texture enhancer",Extract derived from seaweed.,Good,3.0
153,aspartic acid,"antioxidants, skin-replenishing",,Good,3.0
154,astaxanthin,antioxidants,,Best,5.0
155,astaxanthin extract,antioxidants,"Carotenoid (carotene pigment) found in plants, algae, and fish, particularly salmon, that functions...",Best,5.0
156,astragalus membranaceus,"antioxidants, plant extracts","Latin name for the Chinese herb Huang-Qi, also known as milk vetch.",Best,5.0
157,astragalus sinicus,"antioxidants, plant extracts",,Good,3.0
158,astrocaryum murumuru seed butter,"emollients, plant extracts",A non-fragrant vegetable fat that's nearly solid at room temperature (much like dairy butter). It functions as an emollient ingreident that works to keep...,Good,3.0
159,atp,"skin-soothing, skin-restoring",,Best,5.0
160,atractylodes macrocephala root powder,"antioxidants, skin-soothing, plant extracts",A natural plant extract commonly used in Chinese and Korean herbal medicines.,Best,5.0
161,atractyloydes lancea root extract,plant extracts,"Also known as Chinese Thistle Daisy, this root extract is used in Chinese and Japanese alternative...",Average,1.0
162,avena sativa,"skin-soothing, plant extracts","See oatmeal, oat bran extract, gluten ingredients…",Best,5.0
163,avobenzone,sunscreen actives,Synthetic sunscreen ingredient (also known as Parsol 1789 and butyl methoxydibenzoylmethane) that...,Average,1.0
164,avocado oil,"antioxidants, emollients",Emollient oil similar to other nonfragrant plant oils. It has antioxidant properties.,Best,5.0
165,awapuhi,plant extracts,English name for wild ginger.,Poor,-1.0
166,azadirachta indica,"plant extracts, antioxidants",,Average,1.0
167,azelaic acid,"skin-soothing, antioxidants, exfoliant",A type of acid known as a dicarboxylic acid derived from grains that offers numerous benefits when applied to skin.,Best,5.0
168,azelaoyl bis-dipeptide-10,skin-restoring,Azelaoyl bis-dipeptide-10 is a synthetic peptide built around naturally-derived azelaic acid that offers brightening and antioxidant benefits.,Best,5.0
169,azelex,uncategorized,,Best,5.0
170,azuki beans,scrub agents,Legumes that are often ground up for use in skincare scrub products.,Average,1.0
171,azulene,"skin-soothing, plant extracts, antioxidants",Chamomile extract used primarily as a coloring agent in cosmetics. It can have antioxidant and...,Average,1.0
172,babassu oil,"plant extracts, emollients, antioxidants","Babassu oil comes from the seed of the Orbignya oleifera plant, which is native to Brazil.",Best,5.0
173,bakuchiol,"antioxidants, plant extracts",An antioxidant found in the seeds and leaves of the plant Psoralea corylifolia...,Best,5.0
174,balm mint extract,"plant extracts, fragrance: synthetic and fragrant plant extracts",Extract derived from a fragrant plant; it poses some risk of causing skin sensitivity…,Poor,-1.0
175,balsam peru,"plant extracts, fragrance: synthetic and fragrant plant extracts",Fatty resin that when applied topically can cause skin sensitivity…,Poor,-1.0
176,bambusa vulgaris (bamboo) leaf/stem extract,uncategorized,"Extract from the common bamboo plant. Like many plant extracts, research has shown...",Best,5.0
177,banana extract,"antioxidants, plant extracts","Extract from banana fruit that has some weak antioxidant properties (Source: Free Radical Research,...",Average,1.0
178,barberry,skin-soothing,"Plant whose primary component, berberine, is an alkaloid that can have soothing properties and...",Best,5.0
179,barium sulfate,coloring agents/pigments,Barium sulfate is an inorganic salt that occurs in nature.,Good,3.0
180,barley extract,plant extracts,"Extract from barley plants. Can have antioxidant properties when ingested, but there is no research...",Average,1.0
181,batyl alcohol,emollients,Derived from glycerin and used as a stabilizing ingredient and skin-conditioning agent.,Good,3.0
182,bay leaf oil,"antioxidants, plant extracts, fragrance: synthetic and fragrant plant extracts",Has the potential to provide antioxidant benefits for skin…,Poor,-1.0
183,bearberry extract,antioxidants,"Latin name Arctostaphylos uva ursi, there is research showing that this extract has soothing...",Good,3.0
184,bee pollen,uncategorized,"Can have antioxidant properties (Source: Journal of Agricultural Food Chemistry, April 2001, pages...",Poor,-1.0
185,beeswax,"texture enhancer, emollients",Substance made by bees to build the walls of their honeycomb. It is a thickening agent that has...,Good,3.0
186,beet root extract,"antioxidants, coloring agents/pigments, plant extracts",Powdered base of the stem (root) of the Beta vulgaris plant. Used as a coloring agent. As with most...,Good,3.0
187,beheneth-5,thickeners/emulsifiers,A synthetic or plant-derived derivative of polyethylene glycol and behenyl alcohol that functions as an emulsifier and can also be a surfactant.,Good,3.0
188,behenic acid,"texture enhancer, cleansing agents",Fatty acid used as a thickening agent and surfactant.,Good,3.0
189,behentrimonium chloride,"texture enhancer, emollients",Skin-conditioning agent and emulsifier.,Good,3.0
190,behenyl alcohol,texture enhancer,Thickening agent used in cosmetics. It is not related to irritating forms of alcohol.,Good,3.0
191,behenyl behenate,"hydration, emollients",Behenyl behenate is the wax-like ester of the fatty acid behenic acid and fatty alcohol behenyl alcohol.,Good,3.0
192,bellis perennis,plant extracts,,Poor,-1.0
193,bentonite,absorbent,"Type of clay that is used as an absorbent in cosmetics. It can be drying for skin, though its...",Good,3.0
194,benzalkonium chloride,antioxidants,Used as a preservative in skincare products. There is no research showing it...,Average,1.0
195,benzephenone-3,sunscreen actives,"Also called oxybenzone, a sunscreen agent that protects skin primarily from the sun’s UVB rays and...",Good,3.0
196,benzoic acid,preservatives,Preservative used in skincare products; it is considered less sensitizing than some other forms of...,Good,3.0
197,benzoin extract,fragrance: synthetic and fragrant plant extracts,Balsam resin that has some fragrant properties; it may also be sensitizing to skin…,Poor,-1.0
198,benzophenone,sunscreen actives,Group of compounds used in cosmetics as sunscreen agents to protect mostly from UVB radiation and...,Average,1.0
199,benzothonium chloride,preservatives,Compound used as a preservative in cosmetics. It is generally considered less sensitizing…,Good,3.0
200,benzoyl peroxide,anti-acne,Benzoyl peroxide is considered the most effective over-the-counter topical acne treatment. Learn more.,Best,5.0
201,benzyl alcohol,preservatives,"An organic alcohol that occurs naturally in some fruits (apricots, cranberries) and teas.",Good,3.0
202,benzyl salicylate,fragrance: synthetic and fragrant plant extracts,"A volatile fragrance chemical with a sweet, floral odor used to impart scent to cosmetic products and perfumes.",Poor,-1.0
203,berberis aristata,"plant extracts, antioxidants",,Best,5.0
204,bergamot oil,"plant extracts, fragrance: synthetic and fragrant plant extracts","A volatile citrus oil that, when used topically, is a photosensitizer...",Poor,-1.0
205,bertholletia excelsa extract,"antioxidants, plant extracts",,Good,3.0
206,beta-carotene,antioxidants,"Member of the carotenoid family. There are hundreds of carotenoids, including lycopene and lutein....",Good,3.0
207,beta-glucan,"skin-soothing, antioxidants",Polysaccharide sugar derived from yeast or oats. It has some antioxidant properties and is a skin-soothing agent.,Best,5.0
208,beta hydroxy acid,"skin-soothing, antioxidants, exfoliant",,Best,5.0
209,betaine,hydration,Betaine is an ingredient that works to balance skin’s hydration.,Good,3.0
210,betaine salicylate,exfoliant,An ingredient derived from sugar beets that is sometimes used as an alternative to...,Good,3.0
211,beta-sitosterol,"skin-soothing, plant extracts, skin-replenishing","Beta-sitosterol is a fatty acid-type ingredient derived from plants, and is similar to cholesterol...",Best,5.0
212,beta vulgaris root extract,"antioxidants, coloring agents/pigments, plant extracts",,Good,3.0
213,betula alba,"antioxidants, plant extracts",,Good,3.0
214,betula alba (birch) juice,"antioxidants, plant extracts",Betula alba juice is the sap from the birch tree.,Good,3.0
215,bha (beta hydroxy acid),"skin-soothing, exfoliant, anti-acne","BHA, or beta hydroxy acid, is more commonly known as salicylic acid.",Best,5.0
216,bht,antioxidants,"Butylated hydroxytoluene, a potent synthetic antioxidant that also has negative properties when...",Average,1.0
217,bifida ferment lysate,"miscellaneous, hydration",Bifida ferment lysate is a probiotic ingredient derived from a specific type of yeast obtained by the fermentation of Bifida bacteria.,Best,5.0
218,bilberry extract,plant extracts,Some research shows bilberry (vaccinium myrtillis) to be effective as an antioxidant when ingested...,Best,5.0
219,bioflavonoid,antioxidants,Diverse range of substances that are components of many fruits and vegetables. Many have been shown...,Best,5.0
220,biotin,vitamins,A water-soluble substance produced in the body by certain types of...,Good,3.0
221,biotin/folic acid/cyanocobalamin/niacinamide/pantothenic acid/pyridoxine/riboflavin/thiamine/yeast polypeptides,skin-softening,A blend of several B vitamins plus peptides derived from a strain of lab-produced yeast.,Best,5.0
222,birch bark extract,"antioxidants, plant extracts",Extract derived from the plant Betula alba (common name white birch). It can have potent...,Good,3.0
223,birch leaf extract,"antioxidants, plant extracts",,Good,3.0
224,bisabolol,"skin-soothing, plant extracts",Can be extracted from chamomile or derived synthetically. It is an anti-irritant.,Best,5.0
225,bis-diglyceryl polyacyladipate,"texture enhancer, emollients",Can be extracted from chamomile or derived synthetically. It is an skin-soothing ingredient.,Good,3.0
226,bismuth oxychloride,"texture enhancer, absorbent","Also known as synthetic pearl, it’s the primary ingredient included in most powders that are referred to as...",Average,1.0
227,bis-peg-18 methyl ether dimethyl silane,"silicones, cleansing agents, texture enhancer, emollients",A synthetic skin conditioning agent and surfactant belonging to the chemical class of siloxanes and...,Good,3.0
228,bis-phenylpropyl dimethicone,"silicones, texture enhancer","A synthetic, colorless, silicone-based polymer that...",Good,3.0
229,bitter orange flower,"plant extracts, fragrance: synthetic and fragrant plant extracts",,Poor,-1.0
230,blackberry,"antioxidants, plant extracts",Berries that have antioxidant properties...,Best,5.0
231,black cohosh,plant extracts,There is no research showing that black cohosh can have this or any effect…,Average,1.0
232,black currant oil,plant extracts,Non-volatile plant oil.,Best,5.0
233,black elderberry,"antioxidants, plant extracts","When taken orally, this has antioxidant properties (Source: Journal of Agricultural Food...",Best,5.0
234,black locust extract,"antioxidants, plant extracts","Extract that can have antioxidant properties, although it also may have harmful...",Poor,-1.0
235,black mulberry,plant extracts,"Due to its arbutin content, this extract can have some value in improving the look of discolorations....",Good,3.0
236,black pepper extract and oil,plant extracts,It can cause significant skin sensitivity...,Poor,-1.0
237,black raspberry,"antioxidants, plant extracts",Fruit that has antioxidant properties...,Best,5.0
238,black tea,"skin-soothing, plant extracts, antioxidants",,Best,5.0
239,bladderwrack extract,"antioxidants, plant extracts",Extract derived from seaweed; it can be an effective antioxidant and has water-binding properties...,Best,5.0
240,bloodwort,plant extracts,Also known as yarrow.,Poor,-1.0
241,blue 1,coloring agents/pigments,,Good,3.0
242,blue 1 lake,coloring agents/pigments,,Good,3.0
243,boerhavia diffusa root extract,"skin-soothing, plant extracts, antioxidants",Extract from a flowering plant. Animal studies have shown that this plant has strong...,Best,5.0
244,bois de rose oil,"plant extracts, fragrance: synthetic and fragrant plant extracts",,Poor,-1.0
245,bois oil,"plant extracts, fragrance: synthetic and fragrant plant extracts",Fragrant oil that has no research showing it has benefit for skin (Source: www.naturaldatabase.com).,Poor,-1.0
246,borage seed extract,"skin-soothing, plant extracts","Extract of the plant Borago officinalis, it can have skni-soothing properties...",Best,5.0
247,borage seed oil,"skin-soothing, emollients, antioxidants, plant extracts",Non-fragrant plant oil that contains gamma linolenic acid and other essential fatty acids for skin.,Best,5.0
248,borago officinalis extract,"skin-soothing, antioxidants, emollients, plant extracts",,Best,5.0
249,borago officinalis seed oil,"skin-soothing, plant extracts, emollients, antioxidants",,Best,5.0
