,full_name,url,category,brand,name,customer_rating,price,descriptions,productsize,ingredient_list,num_ingredients,price_oz,dry,oily,combination,sensitive,redness,acne,aging,spots,dull,normal,ingredients_rating,percent_known_ingredients,grade
32,Dermalogica Precleanse Cleansing Oil,https://www.sephora.com/product/precleanse-P423148?icid2=products%20grid:p423148,cleanser,Dermalogica,Precleanse Cleansing Oil,4.4,45.0,"what it is: a deep-cleansing vegan oil that helps remove makeup and impurities from skin.

skin type: normal, dry, combination, and oily

skincare concerns: pores, oiliness, and dullness and uneven texture

formulation: liquid

highlighted ingredients:
- vitamin e: nourishes and protects skin from damage.
- rice bran: gently exfoliates.
- rosemary: protects skin from damage.

ingredient callouts: free of sulfates sls and sles, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. this product is also vegan, cruelty-free, and gluten-free.

what else you need to know: achieve ultra-clean skin with the double cleanse regimen that begins with precleanse. thoroughly melt away layers of excess sebum (oil), sunscreen, waterproof makeup, environmental pollutants, and residual products that build up on skin throughout the day. this formula is for all skin types and won't clog pores.",5.1 oz,"['caprylic/capric triglycerides', 'prunus armeniaca (apricot) kernel oil', 'peg-40 sorbitan peroleate', 'helianthus annuus (sunflower) seed oil', 'citrus aurantium dulcis (orange) oil', 'citrus grandis (grapefruit) peel oil', 'cymbopogon schoenanthus oil', 'borago officinalis seed oil', 'lavandula angustifolia (lavender) oil', 'rosmarinus officinalis (rosemary) leaf extract', 'solanum lycopersicum (tomato) extract', 'lavandula hybrida oil', 'citrus nobilis (mandarin orange) peel oil', 'oryza sativa (rice) bran oil', 'carthamus tinctorius (safflower) seed oil', 'aleurites moluccana seed oil', 'cetyl ethylhexanoate', 'dicaprylyl carbonate', 'tocopheryl acetate', 'tocopherol', 'c12-15 alkyl benzoate', 'citral', 'limonene', 'linalool']",24,8.82,True,True,True,False,False,False,False,False,True,True,63.0,0.83,D
33,Tata Harper Regenerating Exfoliating Cleanser,https://www.sephora.com/product/regenerating-cleanser-P379710?icid2=products%20grid:p379710,cleanser,Tata Harper,Regenerating Exfoliating Cleanser,4.4,42.0,"what it is: a natural daily exfoliator that buffs and polishes with bha and apricot microspheres to reveal smooth, radiant healthy-looking skin.

skin type: dry and combination

skincare concerns: dullness and uneven texture, pores, and dryness

formulation: scrub

highlighted ingredients:
- apricot microspheres: provides exfoliation to smooth texture.
- natural bha from white willow bark extract: cleans and clears the look of pores.
- olive oil liquid crystal complex: moisturizes and softens skin.

ingredient callouts: free of toxins, fillers, artificials, synthetics, and gmos. this product is vegan, cruelty-free, and comes in recyclable packaging.

what else you need to know: tata harper is a real skincare company. they do it all themselves with their own chemists at their own farm. no synthetics. no outsourcing. no shortcuts.

smells like green beauty. this 100 percent natural formula smells like the roots, stems, and absolute essence of every single natural ingredient in the green bottle.

clean at sephora
clean at sephora is formulated without a list of over 50 ingredients, including sulfates (sls and sles), parabens, phthalates, and more. for the full list, check out the ingredients tab.",1.7 oz,"['hordeum vulgare leaf juice', 'cetearyl alcohol', 'cetearyl olivate', 'helianthus annuus (sunflower) seed oil', 'propanediol', 'prunus armeniaca (apricot) seed powder', 'sorbitan olivate', 'water', 'lactobacillus ferment', 'lactobacillus/punica granatum fruit ferment extract', 'leuconostoc ferment filtrate', 'sambucus nigra fruit extract', 'salix alba (willow) bark extract', 'arnica montana (arnica) extract', 'borago officinalis (borage) leaf extract', 'calendula officinalis (calendula) flower extract', 'medicago sativa (alfalfa) extract', 'spiraea ulmaria (meadowsweet) extract', 'coco-glucoside', 'cetearyl glucoside', 'olea europaea (olive) oil', 'kaolin (white clay)', 'sclerotium gum', 'cetyl palmitate', 'sorbitan palmitate', 'sodium phytate', 'ci77491 (red iron oxide)', 'aroma', 'alcohol', 'citral', 'limonene', 'linaloolingredients from organic farming  clinical grade essential oils blend']",32,24.71,True,False,True,False,False,False,True,False,True,False,74.0,0.81,C
34,Murad Acne Control Clarifying Cleanser,https://www.sephora.com/product/clarifying-cleanser-P4016?icid2=products%20grid:p4016,cleanser,Murad,Acne Control Clarifying Cleanser,4.2,32.0,"which skin type is it good for?
✔ normal
✔ oily
✔ combination
✔ dry
✔ sensitive

what it is:
a powerful cleanser with two types of salicylic acid purifies pores and treats acne—even after rinsing.

solutions for:
- acne and blemishes
- oiliness
- pores

if you want to know more…
this ultimate acne gel cleanser helps dissolve excess oil, purify pores, clear existing blemishes, and prevent breakouts—including maskne. two types of salicylic acid start treating immediately and over time. green tea extract helps soothe and calm irritation for healthier-looking skin.

what else you need to know:
""i suffered from acne as a teenager...having acne was very emotional for me, and i can identify with my patients who feel their acne is never-ending. i also understand the frustration of using harsh acne ingredients that leave behind dryness, irritation, and redness. in addition to formulating clarifying cleanser with two types of salicylic acid that treat immediately and over time, i selected the most soothing, calming ingredients to counteract dryness and irritation.""—howard murad, m.d., faad

this product is cruelty-free and formulated without gluten.

research results:
clinically tested by an independent laboratory and proven safe for sensitive skin.

in a 3-day clinical study:
- 94% said it dissolves excess oil
- 94% said it deeply cleanses skin
- 88% said it improves skin’s overall appearance
- 85% said it leaves pores feeling clean of impurities",6.75 oz,"['salicylic acid (15%)\nwater (aqua)', 'sodium c14-16 olefin sulfonate', 'cocamidopropyl betaine', 'urea', 'yeast amino acids', 'trehalose', 'inositol', 'taurine', 'betaine', 'methyl gluceth-20', 'ppg-26-buteth-26', 'peg-40 hydrogenated castor oil', 'butylene glycol', 'cimicifuga racemosa root extract', 'camellia oleifera leaf extract', 'silver citrate', 'peg-150 distearate', 'menthol', 'zea mays (corn) starch', 'hydrolyzed corn starch', 'hydrolyzed corn starch octenylsuccinate', 'glyceryl stearate', 'cocamidopropyl dimethylamine', 'polysorbate 80', 'citric acid', 'disodium edta', 'phenoxyethanol', 'caprylyl glycol', 'chlorphenesin', 'limonene', 'citrus reticulata (tangerine) leaf oil', 'cymbopogon nardus (citronella) oil', 'citrus limon (lemon) peel oil', 'citrus aurantifolia (lime) oil', 'lavandula hybrida oil', 'citrus nobilis (mandarin orange) peel oil', 'prunus armeniaca (apricot) kernel oil', 'fragrance (parfum)']",38,4.74,True,True,True,True,True,True,False,False,False,True,63.0,0.87,D
35,Kiehl's Since 1851 Ultra Facial Cleanser,https://www.sephora.com/product/ultra-facial-cleanser-P422007?skuId=2381945&icid2=products%20grid:p422007,cleanser,Kiehl's Since 1851,Ultra Facial Cleanser,4.4,34.0,"what it is: a foaming cleanser formulated to help remove excess oil, dirt, and debris.

skin type: normal, dry, sensitive

skincare concerns: oiliness, dullness and uneven texture, and acne and blemishes

formulation: lightweight gel

highlighted ingredients:
- apricot kernel oil: moisturizes and softens skin while helping retain clarity and suppleness.
- avocado oil: helps to restore the natural moisture of the skin.
- squalane (perhydrosqualene or perhydrosqualene vegetal): is easily absorbed and helps restore skin’s natural moisture balance to keep it extra soft and supple.

what else you need to know: this gentle face wash helps lift away dirt and excess oil without over-drying skin. with emollients like apricot kernel oil, avocado oil, and squalane, this liquid formula cleanses skin gently without stripping it of its natural oils.",7.7 oz,"['water', 'sodium laureth sulfate', 'decyl glucoside', 'glycerin', 'cocamidopropyl betaine', 'disodium cocoamphodiacetate', 'acrylates copolymer', 'peg-200 hydrogenated glyceryl palmate', 'lauryl glucoside', 'sodium chloride', 'pentylene glycol', 'triethanolamine', 'phenoxyethanol', 'peg-7 glyceryl cocoate', 'distearyl ether', 'behenyl alcohol', 'methylparaben', 'laureth-2', 'propylparaben', 'sodium methylparaben', 'squalane', 'prunus amygdalus dulcis oil/sweet almond oil', 'prunus armeniaca kernel oil/apricot kernel oil', 'tocopherol', 'ascorbyl glucoside', 'persea gratissima oil/avocado oil', 'sodium hydroxide', 'citric acid']",28,4.42,True,False,False,True,False,True,False,False,True,True,63.0,0.93,D
36,Shiseido Clarifying Cleansing Foam,https://www.sephora.com/product/clarifying-cleansing-foam-P433618?icid2=products%20grid:p433618,cleanser,Shiseido,Clarifying Cleansing Foam,4.3,36.0,"which skin type is it good for?
✔ normal
✔ oily
✔ combination
✔ dry
✔ sensitive

what it is:
a rich, creamy foaming cleanser that protects skin’s hydration as it whisks away trouble-causing impurities, pollutants, and makeup for smooth, radiant skin.

solutions for:
- dullness and uneven texture
- oiliness
- pores

if you want to know more…
this rich foaming cleanser contains micro white powder and white clay to effectively remove excess skin-dulling surface cells, pollutants, and oxidized substances. formulated for all skin types and featuring internal power resist technology, this cleanser helps remove impurities while softening and visibly strengthening skin. it is to be used daily, in the morning and evening as the first step in your skincare regimen.

what else you need to know:
this product is dermatologist-tested.

research results:
in a test done on 106 participants, immediately after use:
- 94% said it softened skin and lifted away dirt and impurities
- 90% said they feel it removes air pollutants
- 87% said it intensely removes dirt and impurities while being gentle to skin

after 2 weeks:
- 86% said it improves skin's radiance
- 86% said it promotes smooth absorption of skincare that follows
- 85% said it promotes clarity",4.6 oz,"['water', 'stearic acid', 'peg-8', 'myristic acid', 'glycerin', 'potassium hydroxide', 'dipropylene glycol', 'lauric acid', 'glyceryl stearate se', 'sorbitol', 'cocamidopropyl betaine', 'peg-60 glyceryl isostearate', 'sodium methyl cocoyl taurate', 'phytosteryl macadamiate', 'fragrance', 'polyquaternium-39', 'disodium edta', 'oryza sativa (rice) germ oil', 'linalool', 'geraniol', 'citronellol', 'kaolin', 'sodium benzoate', 'butylene glycol', 'acrylates copolymer', 'betaine', 'silk powder(serica/poudre de soie)', 'tocopherol', 'sodium acetylated hyaluronate', 'artemisia princeps leaf extract', 'sodium lauryl sulfate']",31,7.83,True,True,True,True,False,False,False,False,True,True,69.0,0.87,C
37,Glow Recipe Blueberry Bounce Gentle Cleanser,https://www.sephora.com/product/blueberry-bounce-gentle-cleanser-P436359?icid2=products%20grid:p436359,cleanser,Glow Recipe,Blueberry Bounce Gentle Cleanser,3.9,34.0,"what it is: a gentle cleanser and makeup remover, packed with antioxidant-rich blueberries, hyaluronic acid, and gentle ahas.

skin type: normal, dry, combination, and oily

skincare concerns: pores, oiliness, and acne and blemishes

formulation: lightweight gel

highlighted ingredients:
- blueberry extract: packed with antioxidants to protect skin against environmental stressors.
- hyaluronic acid: hydrates skin by holding up to 1,000 times its weight in moisture.
- aha: a blend of lactic acid (derived from plants) and glycolic acid that gently exfoliates and hydrates to reveal smoother, brighter skin over time by removing dead surface skin cells.

ingredient callouts: this product is vegan and gluten-free.

what else you need to know: this cleanser delivers all the antioxidant-rich benefits of blueberries. the gentle formula is packed with nourishing oils to remove makeup with minimal rubbing, while hyaluronic acid and ahas help improve the look of pores. skin is left clear, radiant, and glowy.

clean at sephora
clean at sephora is formulated without a list of over 50 ingredients, including sulfates (sls and sles), parabens, phthalates, and more. for the full list, check out the ingredients tab.",5.41 oz,"['water', 'palm kernel/coco glucoside', 'caulerpa lentillifera (seaweed) extract', 'sodium hyaluronate', 'vaccinium angustifolium (blueberry) fruit extract', 'vaccinium angustifolium (blueberry) fruit', 'glycolic acid', 'lactic acid', 'physalis peruviana (groundcherry) fruit extract', 'rubus idaeus (raspberry) fruit extract', 'arctostaphylos uva ursi (bearberry) leaf extract', 'morus nigra (mulberry) fruit extract', 'vaccinium myrtillus (bilberry) fruit extract', 'beta-glucan', 'scutellaria baicalensis (skullcap) root extract', 'paeonia suffruticosa (peony) root extract', 'glycyrrhiza glabra (licorice) root extract', 'betaine', 'sodium chloride', 'fragrance']",20,6.28,True,True,True,False,False,True,False,False,False,True,79.0,0.8,B
38,Origins GinZing™ Refreshing Scrub Cleanser,https://www.sephora.com/product/ginzing-refreshing-scrub-cleanser-P386197?icid2=products%20grid:p386197,cleanser,Origins,GinZing™ Refreshing Scrub Cleanser,4.5,23.0,"what it is: a two-in-one scrubbing cleanser that is fortified with panax ginseng to boost visible radiance and energizing caffeine from coffee beans.

skin type: normal, combination, and oily

skincare concerns: pores and dullness

formulation: gel

highlighted ingredients:
- caffeine from coffee: visibly refreshes and recharges skin.

ingredient callouts: this product is vegan, cruelty-free, and gluten-free, and comes in recyclable packaging.

what else you need to know: this scrub is formulated with natural jojoba and carnauba wax to gently exfoliate and unclog pores. after use, skin looks smoother and brighter and feels perfectly refreshed. plus the uplifting aroma of grapefruit, lemon, and spearmint perks you up so you're ready to face the day.

clean at sephora
clean at sephora is formulated without a list of over 50 ingredients, including sulfates (sls and sles), parabens, phthalates, and more. for the full list, check out the ingredients tab.",5 oz,"['water', 'cocamidopropyl hydroxysultaine', 'coco-betaine', 'sodium lauroyl oat amino acids', 'decyl glucoside', 'sodium cocoyl sarcosinate', 'acrylates copolymer', 'copernicia cerifera (carnauba) wax\\cera carnauba\\cire de carnauba', 'jojoba esters', 'sodium chloride', 'polysorbate 20', 'disodium cocoyl glutamate', 'citrus limon (lemon) peel oil', 'citrus grandis (grapefruit) peel oil', 'mentha viridis (spearmint) leaf oil', 'panax ginseng (ginseng) root extract', 'caffeine', 'garcinia mangostana peel extract', 'cordyceps sinensis extract', 'butylene glycol', 'ethylhexylglycerin', 'glycerin', 'aloe barbadensis leaf juice', 'sodium cocoyl glutamate', 'monosodium citrate', 'citric acid', 'sodium hydroxide', 'disodium edta', 'methylchloroisothiazolinone', 'methylisothiazolinone', 'phenoxyethanol essential oil']",31,4.6,False,True,True,False,False,False,True,False,True,True,59.0,0.9,D
39,Kiehl's Since 1851 Calendula Deep Clean Foaming Face Wash,https://www.sephora.com/product/calendula-deep-clean-foaming-face-wash-P422013?icid2=products%20grid:p422013,cleanser,Kiehl's Since 1851,Calendula Deep Clean Foaming Face Wash,4.5,34.0,"what it is: a gentle face wash that cleanses and nurtures without over-drying for clean skin that looks fresh.

skin type: combination and oily

skincare concerns: oiliness, acne, and blemishes

formulation: lightweight gel

highlighted ingredients:
- calendula extract: provides skin-soothing properties
- glycerin: supports the moisture barrier for softer-feeling skin.

ingredient callouts: free of parabens. this product also comes in recyclable packaging.

what else you need to know: this face cleanser is made with calendula flower extract derived from petals handpicked in the mediterranean. it works to breaks down dirt, oil, and impurities without compromising the moisture barrier, helping skin look hydrated and feel soothed, not dry or tight. ideal for normal to oily skin and sensitive skin.",7.7 oz,"['aqua/water', 'sodium cocoyl glycinate', 'coco-betaine', 'glycerin', 'acrylates copolymer', 'sodium chloride', 'phenoxyethanol', 'citrus limon peel oil/lemon peel oil', 'limonene', 'sodium hydroxide', 'tetrasodium edta', 'propylene glycol', 'geranium maculatum oil', 'citral', 'calendula officinalis flower extract', 'cymbopogon schoenanthus oil', 'artemisia absinthium extract', 'citric acid']",18,4.42,True,True,True,True,False,True,True,False,False,True,59.0,0.89,D
40,Caudalie Vinopure Pore Purifying Gel Cleanser,https://www.sephora.com/product/vinopure-pore-purifying-gel-cleanser-P446939?icid2=products%20grid:p446939,cleanser,Caudalie,Vinopure Pore Purifying Gel Cleanser,4.5,28.0,"what it is: a pore purifying cleanser powered by 100 percent natural salicylic acid to minimize the look of pores, blemishes, and oil.

skin type: combination and oily

skincare concerns: pores, acne and blemishes, and oiliness

formulation: gel

highlighted ingredients:
- natural salicylic acid: unclogs and tightens the appearance of pores.
- organic essential oil complex and grape seed polyphenols: antibacterial, antioxidant; reduce the look of blemishes.
- grape water: soothes and visibly reduces redness.

ingredient callouts: this product is vegan and gluten-free.

what else you need to know: this oil-free, gel-to-foam cleanser visibly tightens pores while minimizing excess sebum, blackheads, and imperfections. the non-drying formula features antioxidant grape seed polyphenols, anti-bacterial essential oil complex, redness-reducing gape water, plus organic rose water to promote a healthy glow. your purchase helps the planet. caudalie donates 1 percent of sales to plant trees. merci!

clinical results: based on a self-assessment of 30 participants, after 28 days:
- 96% found their skin purified
- 83% found their pores unclogged
- 83% found their skin less shiny

clean at sephora
when you spot our clean seal, you can be sure we’ve checked that this brand’s product is made without the ingredients you told us you’d most like to avoid. 

clean at sephora™ is formulated without: 
sulfates sls and sles, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, triclocarban. all skincare, hair, and makeup brands with the clean seal have less than one percent of synthetic fragrances.",5 oz,"['water', 'vitis vinifera (grape) fruit water', 'decyl glucoside', 'glycerin', 'sodium cocoyl glutamate', 'sucrose cocoate', 'acacia senegal gum', 'xanthan gum', 'propanediol', 'sodium glutamate', 'sodium chloride', 'caprylyl glycol', 'coconut acid', 'salicylic acid', 'vitis vinifera (grape) juice', 'cymbopogon citratus leaf oil', 'lavandula hybrida oil', 'melissa officinalis leaf oil', 'mentha piperita (peppermint) oil', 'pelargonium graveolens flower oil', 'rosmarinus officinalis (rosemary) leaf oil', 'citric acid', 'potassium sorbate', 'sodium benzoate', 'citral', 'citronellol', 'geraniol', 'linalool']",28,5.6,True,True,True,False,True,True,False,False,False,False,68.0,0.86,C
41,AMOREPACIFIC Treatment Cleansing Foam Hydrating Cleanser   ,https://www.sephora.com/product/treatment-cleansing-foam-P232930?icid2=products%20grid:p232930,cleanser,AMOREPACIFIC,Treatment Cleansing Foam Hydrating Cleanser   ,4.4,50.0,"which skin type is it good for?
✔ normal
✔ oily
✔ combination

what it is:
a foaming cream cleanser that effectively removes makeup and impurities without stripping away moisture while helping to treat and prevent breakouts.

solutions for:
- blemishes

if you want to know more…
perfect for normal to oily skin, this foaming cream cleanser removes impurities and makeup without stripping the skin of vital moisture while helping to treat and prevent breakouts. olive oil, sunflower seed oil, and mango seed butter cleanse the skin thoroughly without drying it out, while natural sugars hydrate and soften. as the cleanser is massaged onto the skin, micro-encapsulated vitamin e beads deliver a burst of antioxidant protection, leaving the complexion clean and refreshed.

what it is formulated without:
- parabens
- sulfates
- phthalates

what else you need to know:
amorepacific creates luxury high-performance skincare utilizing the power of asian botanicals. green tea is grown and harvested by the brand and utilized in its potent formulas along with other rare ingredients like bamboo sap, pine mushroom, and red ginseng.",4.1 oz,"['water', 'glycerin', 'stearic acid', 'myristic acid', 'potassium hydroxide', 'lauric acid', 'peg-8', 'sodium myristoyl glutamate', 'glyceryl stearate', 'peg-32', 'peg/ppg-25/30 copolymer', 'sorbitol', 'peg-200 hydrogenated glyceryl palmate', 'cocamidopropyl betaine', 'phyllostachis bambusoides juice', 'panax ginseng root extract', 'mangifera indica (mango) seed butter', 'olea europaea (olive) fruit oil', 'helianthus annuus (sunflower) seed oil', 'algae extract', 'glycyrrhiza glabra (licorice) root extract', 'corallina officinalis extract', 'lactose', 'disodium edta', 'microcrystalline cellulose', 'butylene glycol', 'sucrose', 'alcohol', 'zea mays (corn) starch', 'olive oil peg-8 esters', 'ultramarines (ci 77007)', 'xanthan gum', 'tocopheryl acetate', 'trehalose', 'triclosan', 'phosphatidylcholine', 'propylene glycol', 'peg-100 stearate', 'peg-14m', 'peg-5 rapeseed sterol', 'peg-7 glyceryl cocoate', 'hydrogenated lecithin', 'sodium benzoate', 'fragrance']",44,12.2,True,True,True,False,False,False,False,False,False,True,80.0,0.91,B
42,Caudalie Instant Foaming Cleanser,https://www.sephora.com/product/caudalie-instant-foaming-cleanser-P454778?icid2=products%20grid:p454778,cleanser,Caudalie,Instant Foaming Cleanser,4.3,28.0,"what it is: a natural, soap-free, foaming daily cleanser that is packed with antioxidants to gently cleanse and soften the look of skin.

skin type: normal and dry

skincare concerns: dryness, dullness, and uneven texture

formulation: lightweight mousse

highlighted ingredients:
- grape extract: provides antioxidants and increases visible radiance.
- sage extract: visibly tones, softens, and fights the appearance of blemishes.
- chamomile extract: calms, soothes, and reduces the look of redness.

ingredient callouts: this product is vegan, cruelty-free, and gluten-free, comes in recyclable packaging.

what else you need to know: this airy foam cleanser helps diminish the look of impurities without stripping the skin. it is powered by antioxidant grape seeds and sage extract to cleanse blemishes. it is also suitable for sensitive skin and contains chamomile extract to combat the look of redness and soothe skin.

clinical results: in a subjective test conducted on 22 volunteers for 14 days:
- 100% said the product cleanses the skin, eliminates excess sebum and impurities, and leaves the skin clean, refreshed, and comfortable

clean at sephora
clean at sephora is formulated without a list of over 50 ingredients, including sulfates (sls and sles), parabens, phthalates, and more. for the full list, check out the ingredients tab.",5.0 oz,"['softens', 'soothes', 'and reduces redness aqua/water/eau', 'glycerin', 'sodium cocoyl glutamate', 'caprylyl/capryl glucoside', 'cocamidopropyl betaine', 'coco-betaine', 'caprylyl glycol', 'parfum (fragrance)', 'sodium chloride', 'citric acid', 'potassium sorbate', 'sodium cocoyl isethionate', 'sodium methyl cocoyl taurate', 'sodium phytate', 'butylphenyl methylpropional', 'butylene glycol', 'linalool', 'salvia officinalis (sage) leaf extract', 'citronellol', 'chamomilla recutita (matricaria) flower extract', 'vitis vinifera (grape) fruit extract', 'alcohol (263 /010)']",24,5.6,True,False,False,True,True,False,True,False,True,True,61.0,0.88,D
43,Drunk Elephant E-Rase™ Milki Micellar Water,https://www.sephora.com/product/drunk-elephant-e-rase-milki-micellar-water-P460515?icid2=products%20grid:p460515,cleanser,Drunk Elephant,E-Rase™ Milki Micellar Water,4.4,28.0,"what it is: a milky, ceramide-rich micellar water that thoroughly and gently removes makeup, dirt, pollution, and bacteria from the face and eye area—no rinsing needed.

skin type: normal, dry, combination, and oily

skincare concerns: dryness

formulation: lightweight liquid

highlighted ingredients:
- micellar cleansing blend: a mix of ultra-gentle, dirt- and pollution-capturing surfactants and emollients.
- 3-ceramide blend: ceramides ap, np, and eop are derived from plant sources and are identical to the wax-like moisturizing ceramides that occur naturally in skin and help
soothe and maintain the moisture balance of skin while protecting against water loss. ceramides help fill in the spaces between skin cells, giving them the appearance of elasticity and playing a critical role in supporting the skin barrier.
- wild melon seed oil: cold pressed and rich in omega 6 and 9 fatty acids (linoleic and oleic) as well as antioxidant polyphenols, it‘s used for its soothing, moisturizing, and barrier-supportive benefits.

ingredient callouts: this product is cruelty-free and comes in recyclable packaging.

what else you need to know: with ultra-mild micelles, replenishing fatty acids, and antioxidant-rich plant oils, e-rase™ nourishes skin while dissolving away makeup and dirt, is barrier-supportive, and may be used anytime you need a quick skin refreshment. e-rase™ is gentle enough to be used all over, including eyes and lips, and is formulated at a ph of 5.0.

this micellar water is free of essential oils, silicones, fragrance, pegs, and irritants.

drunk elephant is committed to using only ingredients that either directly benefit the health of the skin or support the integrity of their formulations. the brand focuses on healthy ph levels, formulations the skin recognizes, small molecular structure that’s easily absorbed, and effective active ingredients that also support the skin’s acid mantle. all of their products are designed to be mixed together—what drunk elephant calls making a smoothie. (this is true for all of their products except their sunscreen, umbra, which sits on top of the skin, protecting it from uv damage.) the result is skin that is reset to its happiest, healthiest state.

drunk elephant is a supporter of ief (international elephant foundation) and is cruelty-free.

clean at sephora
clean at sephora is formulated without a list of over 50 ingredients, including sulfates (sls and sles), parabens, phthalates, and more. for the full list, check out the ingredients tab.",8 oz,"['water/aqua/eau', 'cetearyl isononanoate', 'propanediol', 'c15-19 alkane', 'dicaprylyl carbonate', 'heptyl undecylenate', 'sclerocarya birrea seed oil', 'adansonia digitata seed oil', 'prunus amygdalus dulcis (sweet almond) oil', 'schinziophyton rautanenii kernel oil', 'tocopherol', 'acrylates/c10-30 alkyl acrylate crosspolymer', 'citrullus lanatus (watermelon) seed oil', 'ximenia americana seed oil', 'sodium lauroyl lactylate', 'ceramide ap', 'ceramide eop', 'ceramide np', 'cholesterol', 'phytosphingosine', 'xanthan gum', 'carbomer', 'sodium hydroxide', 'phenoxyethanol', 'potassium sorbate', 'polysorbate 20', 'ethylhexylglycerin']",27,3.5,True,True,True,False,False,False,True,False,False,True,84.0,0.78,B
44,Farmacy Clean Bee Ultra Gentle Facial Cleanser,https://www.sephora.com/product/clean-bee-ultra-gentle-facial-cleanser-P431187?icid2=products%20grid:p431187,cleanser,Farmacy,Clean Bee Ultra Gentle Facial Cleanser,4.0,28.0,"what it is: an ultra-gentle, soothing facial cleanser that lifts away excess oil, impurities, and makeup while infusing moisture with honey and hyaluronic acid.

skin type: normal, dry, combination, and oily

skincare concerns: dullness and uneven texture

formulation: gel

highlighted ingredients:
- coconut, sugar, and amino acid: naturally derived cleansers to gently wash away surface oil, impurities, pollution residue, and makeup.
- hyaluronic acid: low molecular weight hyaluronic acid penetrates deeply for added moisture and hydration.
- proprietary honey blend: known for its soothing and humectant properties, this special honey delivers skin-loving moisture and nourishment, plus antioxidants.

ingredient callouts: this product is cruelty-free and gluten-free.

what else you need to know: perfect for everyday use and made with sensitive skin in mind, this face cleanser lifts away surface oil, impurities, pollution residue, and makeup while helping to soothe dry skin. the hydrating and antioxidant-rich formula leaves skin feeling soft and clean.

clean at sephora
clean at sephora is formulated without a list of over 50 ingredients, including sulfates (sls and sles), parabens, phthalates, and more. for the full list, check out the ingredients tab.",5 oz,"['water/aqua/eau', 'sodium lauroyl methyl isethionate', 'cocamidopropyl hydroxysultaine', 'chamomilla recutita (matricaria) flower water', 'decyl glucoside', 'maltooligosyl glucoside', 'lauryl glucoside', 'glycerin', 'hydrogenated starch hydrolysate', 'echinacea purpurea root extract', 'honey extract', 'propolis extract', 'royal jelly extract', 'hydrolyzed sodium hyaluronate', 'calendula officinalis flower extract', 'glycyrrhiza glabra (licorice) root extract', 'aloe barbadensis leaf juice', 'melia azadirachta leaf extract', 'lavandula angustifolia (lavender) oil', 'lavandula hybrida oil', 'curcumin', 'curcuma longa (turmeric) root extract', 'betaine', 'sodium pca', 'disodium cocoyl glutamate', 'sodium cocoyl glutamate', 'citric acid', 'sodium benzoate', 'abies sibirica oil', 'cymbopogon martini oil', 'pelargonium graveolens oil', 'pogostemon cablin leaf oil', 'caramel', 'anthemis nobilis flower oil', 'ocimum basilicum (basil) flower/leaf extract', 'ocimum sanctum leaf extract', 'melia azadirachta flower extract', 'corallina officinalis extract', 'flavor (aroma)', 'potassium sorbate', 'maltodextrin', 'trisodium ethylenediamine disuccinate', 'sodium chloride', 'sodium phytate', 'propanediol', 'linalool']",46,5.6,True,True,True,True,False,False,False,False,True,True,70.0,0.8,C
